Gene,Importance_Real,Importance_Synth,Mean_Importance
SDHA,0.03149392530312681,0.0013995495949120224,0.016446737449019415
KLF4,0.005859001495827521,0.00857211040015613,0.007215555947991826
CDC6,0.006597624739167573,0.006869457822372922,0.006733541280770248
ESM1,0.005209533571846528,0.004410327981105962,0.004809930776476245
CKMT2,0.007791910079677084,0.001366057364789157,0.0045789837222331205
ABLIM1,0.00589356309420112,0.0022670090510143195,0.00408028607260772
EPAS1,0.006240505826862878,0.0018868956608967694,0.004063700743879824
EDN1,0.003775767396122019,0.0038474519568288484,0.0038116096764754335
THBD,0.0032265792424065625,0.0042412417056675086,0.0037339104740370353
FOXP3,0.004610086011842934,0.002669854175970081,0.0036399700939065078
PDCD1LG2,0.00564091047683157,0.0013808696841577167,0.003510890080494643
SHCBP1,0.0038609819268200724,0.0027966648499913294,0.0033288233884057007
EMP2,0.003920980317078407,0.0023791588192525514,0.003150069568165479
PTGER4,0.004930414977825246,0.0012705793001161706,0.0031004971389707084
IL4,0.004331876454808774,0.0013659418351416588,0.0028489091449752165
