GSE_ID,Technology,Total_Samples,Normal_Count,Tumor_Count,Unknown_Count,Tumor_to_Normal_Ratio
GSE137140,Microarray,3924,2178,1746,0,0.8
GSE203024,Microarray,2845,1800,1045,0,0.58
GSE108476,Microarray,2056,28,1876,152,67.0
GSE196096,Microarray,1724,736,988,0,1.34
GSE181063,Microarray,1310,331,960,19,2.9
GSE124648,Microarray,1196,100,1096,0,10.96
GSE148321,Microarray,1134,956,118,60,0.12
GSE150615,Microarray,1079,121,279,679,2.31
GSE100150,Microarray,985,308,56,621,0.18
GSE118985,Microarray,750,68,682,0,10.03
GSE167093,Microarray,656,153,503,0,3.29
GSE304059,RNA-seq,614,72,542,0,7.53
GSE108712,Microarray,575,277,298,0,1.08
GSE227756,Microarray,571,12,559,0,46.58
GSE108474,Microarray,550,28,370,152,13.21
GSE45498,Microarray,536,99,437,0,4.41
GSE298020,RNA-seq,493,3,469,21,156.33
GSE166427,Microarray,486,292,194,0,0.66
GSE149921,Microarray,463,61,279,123,4.57
GSE67269,Microarray,452,226,226,0,1.0
GSE105777,Microarray,426,3,423,0,141.0
GSE119286,Microarray,380,285,95,0,0.33
GSE119288,Microarray,380,95,95,190,1.0
GSE119289,Microarray,380,190,95,95,0.5
GSE119287,Microarray,380,190,95,95,0.5
GSE119276,Microarray,379,94,190,95,2.02
GSE119284,Microarray,378,188,95,95,0.51
GSE119283,Microarray,378,94,94,190,1.0
GSE119280,Microarray,378,95,188,95,1.98
GSE119278,Microarray,378,94,189,95,2.01
GSE121723,Microarray,364,33,310,21,9.39
GSE87211,Microarray,363,160,203,0,1.27
GSE151103,Microarray,360,172,188,0,1.09
GSE87049,Microarray,359,49,310,0,6.33
GSE183030,Microarray,356,102,250,4,2.45
GSE143626,Microarray,344,4,340,0,85.0
GSE99573,Microarray,338,119,219,0,1.84
GSE112791,Microarray,329,63,266,0,4.22
GSE137481,Microarray,326,163,163,0,1.0
GSE114869,Microarray,320,20,300,0,15.0
GSE98620,Microarray,315,121,177,17,1.46
GSE127472,Microarray,315,12,1,302,0.08
GSE107170,Microarray,307,105,202,0,1.92
GSE176339,Microarray,306,108,198,0,1.83
GSE252168,Microarray,303,180,123,0,0.68
GSE145848,Microarray,301,127,174,0,1.37
GSE310173,RNA-seq,300,21,279,0,13.29
GSE198432,Microarray,300,6,288,6,48.0
GSE150576,Microarray,288,194,94,0,0.48
GSE107513,Microarray,276,20,256,0,12.8
GSE325123,RNA-seq,272,3,269,0,89.67
GSE211486,Microarray,271,95,176,0,1.85
GSE102083,Microarray,269,111,156,2,1.41
GSE66843,Microarray,265,65,8,192,0.12
GSE309697,RNA-seq,265,57,192,16,3.37
GSE102079,Microarray,257,105,152,0,1.45
GSE134051,Microarray,255,39,216,0,5.54
GSE183795,Microarray,244,105,139,0,1.32
GSE161369,RNA-seq,237,50,118,69,2.36
GSE180962,Microarray,233,127,106,0,0.83
GSE44021,Microarray,226,113,113,0,1.0
GSE132305,Microarray,220,38,182,0,4.79
GSE114868,Microarray,214,20,194,0,9.7
GSE202043,Microarray,214,11,2,201,0.18
GSE301596,RNA-seq,211,8,203,0,25.38
GSE318420,RNA-seq,210,49,161,0,3.29
GSE117606,Microarray,208,65,143,0,2.2
GSE132219,Microarray,206,32,148,26,4.62
