GSE,Title,Samples,PDAT,Technology
GSE316054,Targeting the ADAR1 p150 isoform triggers tumor growth inhibition and antitumor immunity to overcome immunotherapy resistance,52,2026/04/12,RNA-seq
GSE324679,Characterize the effects of L. asaccharolyticus on autistic-like symptoms,51,2026/04/10,RNA-seq
GSE319878,Interrogating the mechanistic link between neighborhood deprivation and colorectal cancer risk through gene expression analysis of normal colorectal biopsies,171,2026/04/10,RNA-seq
GSE327367,Motif-directed chromatin repression by BCL11B shapes ectopic targeting and lineage commitment,76,2026/04/09,RNA-seq
GSE327167,Single-cell RNA-seq profiling of pleural mesothelioma and comparator pleural specimens,113,2026/04/07,RNA-seq
GSE327166,Bulk RNA-seq profiling of pleural mesothelioma and comparator pleural specimens,89,2026/04/07,RNA-seq
GSE294051,SWI/SNF Remodeling Complexes Regulate 3D Chromatin Architecture by Antagonizing CTCF and Cohesin,188,2026/04/06,RNA-seq
GSE292992,MDM2 degradation overcomes feedback regulation of p53 signaling in Merkel cell carcinoma,66,2026/04/02,RNA-seq
GSE324062,RAS pathway activation drives clonal selection and monocytic differentiation in FLT3 and BCL2 inhibitor resistance,61,2026/04/01,RNA-seq
GSE315928,Differential T cell clonal dynamics underlie outcomes to frontline chemoimmunotherapy in advanced gastric cancer [paired scRNA/TCR-seq],94,2026/04/01,RNA-seq
GSE315516,Glioblastoma cells imitate neuronal excitability in humans,82,2026/04/01,RNA-seq
GSE324977,Pathogenesis of Diffuse Large B-cell Lymphoma Proteogenotypes,53,2026/03/31,RNA-seq
GSE295491,Single cell landscape of MBL/CLL transition [MBL_CLL_GEO_DataSet3],62,2026/03/31,RNA-seq
GSE298507,Inhibition of BCL2 family proteins overcomes acquired resistance to standard of care BRAF and MEK inhibitors in a subset of BRAFV600E-mutant melanomas,58,2026/03/30,RNA-seq
GSE292970,Spatially organizing million callus cells identify the core-network enable tomato shoot regeneration [RNA-Seq],54,2026/03/27,RNA-seq
GSE292673,Directed evolution of a genetically encoded photocatalyst for temporally resolved proximity labeling of subcellular RNAs and proteins,76,2026/03/27,RNA-seq
GSE285077,Chromatin-associated lncRNA-splicing factor condensates regulate hypoxia responsive RNA processing of genes pre-positioned near nuclear speckles [RNA-seq],76,2026/03/27,RNA-seq
GSE281492,Molecular characterisation of the metastatic cell state in Breast Cancer,101,2026/03/27,RNA-seq
GSE325526,Quantitative transcriptome and proteome maps of classical nonclinical species,2227,2026/03/25,RNA-seq
GSE325522,Quantitative transcriptome and proteome maps of classical nonclinical species [b1],757,2026/03/25,RNA-seq
GSE292858,RNA-Seq analysis of tumor and matched normal samples from colorectal cancer patients.,73,2026/03/25,RNA-seq
GSE325123,The melanocytic transcriptomic state is independently associated with poor overall survival in long term follow up of patients with metastatic melanoma,272,2026/03/24,RNA-seq
GSE296192,Hypoxic regulation of chromatin and gene transcription,98,2026/03/24,RNA-seq
GSE325674,Leveraging experimental evolution to extract predictive collateral drug response signatures in Ewings Sarcoma,73,2026/03/23,RNA-seq
GSE312235,Tumors Hijack Immune-Privileging Regulons via Distinct Cell Types to Confer T Cell Desertion and Immunotherapy Resistance Across Various Cancers,72,2026/03/21,RNA-seq
GSE300628,HER2 heterogeneous breast cancer models reveal novel therapeutic targets and subclonal dynamics during evolution to resistance to HER2-targeted therapies,60,2026/03/20,RNA-seq
GSE312789,Inhibition of BIRC5 and MCL-1 as a potential treatment strategy to overcome drug resistance in Mantle Cell Lymphoma,56,2026/03/18,RNA-seq
GSE295563,Preclinical activity of brincidofovir in Peripheral T-cell and NK/T-cell Lymphoma [RNAseq_tumor],53,2026/03/18,RNA-seq
GSE294601,CD371-Targeted CAR T-cells Secreting Interleukin-18 Exhibit Robust Expansion and Clearance of Refractory Acute Myeloid Leukemia,52,2026/03/18,RNA-seq
GSE324454,Dissecting the cellular architecture of breast cancer brain metastases reveals prognostically distinct immune landscapes,128,2026/03/16,RNA-seq
GSE295840,"Single-cell epigenetic landscape, microenvironment interactions, and gene regulatory modules of non-functioning pituitary adenomas",58,2026/03/16,RNA-seq
GSE309350,Effects of HDAC gene knockdowns in human stem cell derived cardiomyocytes,61,2026/03/12,RNA-seq
GSE264050,Parkinson's disease (PD) genetic asymmetry in neuronal nuclei from paired hemisphere samples of prefrontal cortex,87,2026/03/12,RNA-seq
GSE322943,Dissecting the cellular architecture of breast cancer brain metastases reveals prognostically distinct immune landscapes [RNA-Seq],100,2026/03/10,RNA-seq
GSE297035,Radiation triggers a clinically relevant profibrotic p53-mediated DNA damage response in an ex vivo human skin model,55,2026/03/09,RNA-seq
